INPUT,EXPECTED
tightly,taytli
weigh,wey
yoghurt,yogart
acknowledge,aknolej
acreage,eycrieyj
ageing,eydying
agencies,eydyensis
algebra,aldyibra
angel,eyndyel
avenge,abenj
badger,badyer
backstage,baksteyj
badge,baj
bagels,beygels
bandage,bandeyj
banger,banger
barrage,baraj
beige,beyj
beverage,bebereyj
bridge,brij
cage,keyj
challenge,tsalenj
change,tseynj
damage,dameyj
detergent,deterdyent
digestion,daydyestyon
diligent,dilidyent
disadvantage,disadbanteyj
edge,ej
emerge,emerj
encourage,enkoreyj
endanger,endeyndyer
finger,finger
forage,foreyj
forge,forj
forget,forget
gadget,gadyet
gear,gir
generalization,dyeneraliseysyon
general,dyeneral
generosity,dyenerositi
genius,dyinyus
gentle,dyentel
geology,dyiolodyi
hanger,hanger
image,imeyj
images,imeydyes
judge,dyaj
knowledge,nolej
language,langueyj
large,larj
legend,ledyend
luggage,lageyj
manage,maneyj
magenta,madyenta
marriage,mereyj
massage,masaj
messenger,mesendyer
mileage,mayleyj
negligence,neglidyens
nugget,naget
orange,oreynj
orphanage,orfaneyj
page,peyj
passage,paseyj
pigeon,pidyon
privilege,pribilej
rage,reyj
range,reynj
refridgerator,refridyereytor
ravage,rabeyj
salvage,salbeyj
sausage,soseyj
sewage,sueyj
siege,sij
stage,steyj
strange,streynj
tragedy,tradyedi
teenager,tineydyer
triggered,trigerd
together,tugeder
urgency,urdyensi
usage,yuseyj
villagers,biledyers
voltage,bolteyj
wage,weyj
wedge,wej
younger,yanger
amber,amber
ambient,ambyent
ambitious,ambisyus
assemble,asembol
bamboo,bambu
bomb,bomb
chamber,tseymber
climb,klaymb
comb,komb
dumb,damb
embargo,embargo
embark,embark
embarrass,embaras
embody,embodi
embrace,embreys
embryo,embrio
flamboyant,flamboyant
fumble,fumbol
gambit,gambit
gamble,gambol
gambler,gambler
hamburg,hamberg
hamburger,hamberger
humble,hambol
imbalance,imbalans
incumbent,inkambent
lamb,lamb
limb,limb
lumbar,lambar
lumber,lamber
limbo,limbo
member,member
numb,namb
number,namber
plumber,plamber
reimburse,riimbers
remember,remember
resemble,resembol
rumble,rumbol
scramble,skrambol
somber,somber
steamboat,stimbot
symbol,simbol
thumb,tamb
tombstone,tumbston
tremble,trembol
womb,wumb
zombie,sombi
hackney,hakni
knave,neyb
knew,niw
knife,nayf
knit,nit
knob,nob
knock,nok
knoll,nol
knot,not
know,now
knuckle,nakel
nickname,nikneym
weakness,wiknes
agnostic,agnostik
align,alayn
assign,asayn
benign,benayn
bologna,bolownya
campaign,kampeyn
champagne,tsampeyn
cognition,kognisyon
cologne,kolon
deign,deyn
design,desayn
diagnose,dayagnos
dignified,dignifayd
electromagnetic,elektromagnetik
ensign,ensayn
feign,feyn
foreign,foren
gnash,nas
gnome,nowm
ignite,ignayt
ignorance,ignorans
incognito,inkognito
indignation,indigneysyon
insignificant,insignifikant
lasagna,lasanya
magnate,magneyt
magnesium,magnisium
magnet,magnet
magnolia,magnolya
pregnant,pregnant
prognosis,prognosis
recognize,rekognays
reign,reyn
signal,signal
significant,signifikant
sovereign,soberen
dowry,dawri
handwriting,handrayting
playwright,pleyrayt
rewrite,rirayt
shipwreck,syiprek
wrack,rak
wraith,reyt
wrap,rap
wreak,rik
wrench,rents
wrestle,resel
wring,ring
wrong,rong
wrote,rot
wrought,rot
wrung,rang
wryly,rayli
abase,abeys
absence,absens
abuse,abyus
accessed,aksesd
accuse,akyus
actresses,aktreses
advise,adbays
amusement,amyusment
apocalypse,apokalyps
backseat,baksit
base,beys
bestseller,bestseler
biased,bayasd
browser,brawser
bruise,brus
carousel,karosel
cause,kos
cease,sis
cheeseburger,tsisburger
cheesecake,tsiskeyk
choose,tsus
close,klos
coarse,kors
compose,kompos
corpse,korps
cruiser,kruser
cybersecurity,saybersekyuriti
database,deytabeys
decrease,dikris
demise,demays
desert,desert
depose,dipows
despise,despays
diesel,disel
dessert,desert
easel,isel
erase,ereys
excused,ekskyusd
FALSE,fols
finesse,fines
fructose,fruktos
gases,gases
goose,gus
greenhouse,grinhaws
guessed,gesd
hairdresser,heyrdreser
horseback,horsbak
household,hawshold
illnesses,ilneses
immense,imens
impose,impos
incense,insens
increase,inkris
insert,insert
intense,intens
kissed,kisd
kerosene,kerosin
lactose,laktos
lease,lis
lessen,lesen
license,laysens
loosen,lusen
mayonnaise,meyoneys
merchandise,mertsandays
messed,mesd
minimise,minimays
misery,miseri
moose,mus
mussels,masels
noise,noys
nose,nos
nosey,nosi
nurse,ners
obese,obis
observant,obserbant
onset,onset
offense,ofens
organise,organays
otherwise,oderways
overdose,oberdos
parentheses,parentesis
parse,pars
passenger,pasendyer
pause,pos
penthouse,penthaws
perseverance,persebirans
phrase,freys
poise,poys
pose,pos
please,plis
posse,posi
possess,poses
presses,preses
practise,praktis
preserve,preserb
presence,presens
prose,pros
promise,promis
purchased,purtseysd
prosecutor,prosekyutor
raise,reys
realise,rialays
recognise,rekognays
relapse,rilaps
rose,ros
sea,si
seam,sim
season,sison
seat,sit
secession,sesesyon
search,serts
secluded,sekluded
second,sekond
sedentary,sedentari
secure,sekyur
sediment,sediment
sedan,sedan
seduce,sedus
seed,sid
seeker,siker
seem,sim
seismic,saysmik
seize,sis
seine,sen
selector,selektor
senate,seneyt
senior,sinyor
senses,senses
sensibility,sensibiliti
sensor,sensor
separate,separeyt
settled,seteld
sewing,sowing
subset,sabset
those,dows
tossed,tosd
traverse,trabers
trousers,trawsers
unbiased,anbayasd
universe,yunibers
unseen,ansin
upset,apset
vessel,besel
warehouse,weyrhaws
weasel,wisel
wiser,wayser
worse,wers
witnessed,witnesd
yourself,yorself
abstinence,abstinens
accelerate,akselereyt
accept,aksept
accessible,aksesibol
ace,eys
acquaintance,akweyntans
adjacent,adyeysent
adolescence,adolesens
advance,adbans
ambulance,ambyulans
advice,adbays
aerospace,eyrospeys
allegiance,alidyans
allowance,alawans
ancestor,ansestor
annoyance,anoyans
arrogance,arogans
balance,balans
bicep,baysep
bounce,bawns
brace,breys
brilliance,brilians
cadence,keydens
cedar,sidar
ceiling,siling
celebrate,selebreyt
cell,sel
censor,sensor
cent,sent
central,sentral
ceremony,seremoni
cereal,siryal
century,sentsuri
certain,serten
choice,tsois
concede,konsid
concern,konsern
consequence,konsikwens
convergence,konberdyens
dance,dans
deceased,desisd
deceit,desit
decent,disent
defence,defens
deliverance,deliberans
device,debays
descent,desent
disappearance,disapirans
diligence,dilidyens
discern,disern
disgrace,disgreys
dissonance,disonans
divorce,dibors
elegance,elegans
emergence,emerdyens
exceed,eksid
except,eksept
excess,ekses
existence,eksistens
face,feys
farce,fars
faucet,foset
fierce,firs
finance,faynans
fluorescence,floresens
force,fors
furnace,furneys
glance,glans
grace,greys
grievance,gribans
grocery,grosery
guidance,gaydans
hence,hens
hindrace,hindrans
hospice,hospis
ice,ays
incandescent,inkandesent
incentive,insentib
importance,importans
indecent,indisent
induce,indus
influence,influens
inheritance,inheritans
innocence,inosens
intelligence,intelidyens
intercept,intersept
interface,interfeys
juice,dyus
justice,dyastis
lace,leys
lettuce,letus
lice,lays
licence,laysens
mace,meys
magnificent,magnifisent
malice,malis
malpractice,malpraktis
matrices,meytrisis
marketplace,marketpleys
mice,mays
mercenary,mersenari
miscellaneous,miseleynyus
necessary,nesesari
nice,nays
niece,nis
notice,notis
nuance,nuans
obscene,obsin
observance,obserbans
occurrence,okurens
ocean,owsyen
offence,ofens
ounce,awns
pace,peys
palace,paleys
parcel,parsel
patience,peysyens
pence,pens
peaceful,pisful
perceive,persib
piece,pis
places,pleyses
price,prays
prince,prins
princess,prinses
procedure,prosidyur
process,proces
race,reys
radiance,reydians
receipt,resit
receiver,resiber
recent,risent
receptor,reseptor
reduce,redus
rice,rays
romance,romans
sacrifice,sakrifays
sauce,sos
scene,sin
scent,sent
science,sayens
service,serbis
slice,slays
soccer,soker
source,sors
spice,spays
substance,sabstans
space,speys
succeed,saksid
surface,surfeys
temperance,temperans
tolerance,tolerans
trace,treys
trance,trans
trice,trays
twice,tways
ulcer,alser
uncertain,anserten
unnoticed,annotisd
vengeance,bendyans
vice,bays
vigilance,bidyilans
voice,boys
whence,wens
wince,wins
ascend,asend
ascot,askot
biscuit,biskit
cardiovascular,kardiobaskyular
cascade,kaskeyd
conscience,konsyens
crescent,kresent
descend,desend
describe,deskrayb
description,deskripsyon
discard,diskard
disco,disko
discontent,diskontent
discord,diskord
discount,diskawnt
discourage,diskoreyj
discourse,diskors
discover,diskaber
discredit,diskredit
escalate,eskaleyt
escape,eskeyp
fascist,fasyist
fiasco,fiasko
inscribed,inskraybd
landscape,landskeyp
manuscript,manyuskript
mascot,maskot
mascara,maskara
microscope,maykroskop
mischief,mistsif
muscle,masel
obscure,obskyur
preschool,priskul
prescribe,preskrayb
prescription,preskripsyon
rescue,reskyu
rascal,raskal
scale,skeyl
scalp,skalp
scam,skam
scandal,skandal
scar,skar
scarce,skars
scare,skeyr
scarf,skarf
schedule,skedyul
schema,skima
scholar,skolar
school,skul
scold,skold
score,skor
scot,skot
scout,skawt
screw,skru
screen,skrin
scum,skam
subscribe,sabskrayb
susceptible,saseptibol
transcend,transend
upscale,apskeyl
vascular,baskyular
visceral,biseral
viscount,baykawnt
amaze,ameys
analyzer,analayser
apologize,apolodyays
bezel,besel
booze,boos
brazen,breysen
breeze,bris
bronze,brons
buzzer,baser
capitalize,kapitalays
categorized,kategoraysd
citizen,sitisen
civilized,sibilaysd
craze,kreys
criticize,kritisays
customize,kastomays
dazed,deysd
dozen,dosen
eczema,eksima
emphasize,emfasays
energize,enerdyays
fertilizer,fertilayser
freeze,fris
froze,fros
finalize,faynalays
gauze,gos
gaze,geys
glaze,gleys
haze,heys
hospitalize,hospitalays
legalize,ligalays
maze,meys
memorize,memorays
mobilize,mobilays
modernize,modernays
neutralize,nutralays
optimize,optimays
organize,organays
oversized,obersaysd
penalized,penalaysd
prize,prays
size,says
sneeze,snis
specialize,spesyalays
squeeze,skwis
stabilize,steybilays
summarize,samarays
symbolize,simbolays
utilize,yutilays
victimized,biktimaysd
visualize,bisualays
zeal,sil
zebra,sibra
zero,siro
zest,sest
ache,eyk
achieve,atsib
anarchist,anarkist
anchor,ankor
approach,aprots
archaeology,arkeyolodyi
archaic,arkeyik
archer,artser
archive,arkayb
attach,atats
avalanche,abalants
bachelor,batselor
batch,bats
beach,bits
bench,bents
bleach,blits
breach,brits
brunch,brants
bunch,bants
cache,kas
catch,kats
chafe,tseyf
chain,tseyn
chair,tseyr
chalk,tsok
champion,tsampyon
challenger,tsalendyer
chaos,keyos
chapter,tsapter
charcoal,tsarkol
charm,tsarm
cheat,tsit
check,tsek
cheddar,tsedar
chemistry,kemistri
cherry,tseri
chest,tsest
chick,tsik
chicken,tsiken
chief,tsif
child,tsayld
choir,kwayer
chlorine,klorin
choke,tsok
chord,kord
chrome,krom
chuckle,tsakel
cinch,sints
ditch,dits
enrich,enrits
epoch,epok
exchange,ekstseynj
fetch,fets
french,frents
glitch,glits
gulch,gults
handkerchief,hankertsif
hatch,hats
hunch,hants
ketchup,ketsap
kitchen,kitsen
latch,lats
launch,lonts
lunch,lants
machine,masin
march,marts
mech,mek
mechanic,mekanik
melancholy,melankoli
mocha,moka
monarch,monark
moustache,mustas
notch,nots
nacho,natso
niche,nis
orchard,ortsard
orchestra,orkestra
overwatch,oberwats
parochial,parokial
patch,pats
peach,pits
pinch,pints
pitch,pits
pouch,pawts
psychedelic,saykedelik
psycho,sayko
preach,prits
punch,pants
purchase,purtseys
ranch,rants
reach,rits
rich,rits
roach,rowts
sketch,skets
snitch,snits
stretch,strets
switch,swits
technician,teknisyan
technology,teknolodyi
torch,torts
touch,tats
twitch,twits
vouch,bawts
voucher,bawtser
watch,wats
winch,wints
yacht,yat
accident,aksident
acid,asid
ancient,eynsyent
ancillary,ansilari
anticipate,antisipeyt
associate,asosieyt
artificial,artifisyal
atrocious,atrowsyus
atrocity,atrositi
audacity,odasiti
balancing,balansing
beneficial,benefisyal
bouncing,bawnsing
calcium,kalsyum
cider,sayder
cigar,sigar
cipher,sayfer
circle,sirkel
circuit,sirkit
circus,sirkus
city,siti
civil,sibil
coincide,kowinsayd
commercial,komersyal
complicit,komplisit
concise,konsays
concierge,konsyerj
council,kawnsil
criticise,kritisays
crucial,krusyal
crucifix,krusifiks
dancing,dansing
decide,desayd
decimal,desimal
decision,desisyon
deficient,defisyent
deficit,defisit
disciple,disaypol
distancing,distansing
efficient,efisyent
elicit,elisit
emancipation,emansipeysyon
embracing,embreysing
ethnicity,etnisiti
excise,eksays
exercise,eksersays
explicit,eksplisit
facial,feysyal
facing,feysing
fascinate,fasineyt
felicity,felisiti
fencing,fensing
ferocious,ferowsyus
financial,faynansyal
genocide,dyenosayd
glacial,gleysyal
glancing,glansing
hallucination,halusineysyon
homicide,homisayd
icing,aysing
illicit,ilisit
implicit,implisit
incidence,insidens
incapacitated,inkapasiteyted
incident,insident
incision,insisyon
inducing,indusing
invincible,inbinsibol
judicial,dyudisyal
lucid,lusid
magician,madyisyan
malicious,malisyus
mathematician,matematisyan
medicine,medisin
menacing,menasing
merciful,mersiful
noticing,notising
official,ofisyal
pencil,pensil
pacing,peysing
piercing,pirsing
placid,plasid
politician,politisyan
precinct,prisinkt
precise,presays
principal,prinsipal
producing,produsing
racing,reysing
recipe,resipi
recital,resaytal
reconcile,rikonsayl
reducing,redusing
referencing,referensing
sacrificing,sakrifaysing
scion,sayon
scissors,sisors
slicing,slaysing
social,sosyal
society,sosayeti
special,spesyal
species,spisis
specify,spesifay
specimen,spesimen
sufficient,safisyent
suicide,suwisayd
tacit,tasit
tenacious,teneysyus
toxicity,toksisiti
thoracic,torasik
unconscious,ankonsyus
undecided,andesayded
vacancies,beykansis
vaccination,baksineysyon
vaccine,baksin
velocity,belositi
vicinity,bisiniti
vicious,bisyus
voicing,boysing
abbreviation,abribieysyon
abduction,abdaksyon
absorption,absorpsyon
acceleration,akselereysyon
acoustic,akustik
action,aksyon
activate,aktibeyt
adaptation,adapteysyon
activity,aktibiti
adoptive,adoptib
adoration,adoreysyon
advertisement,adbertaysment
affection,afeksyon
affliction,afliksyon
allocation,alokeysyon
ammunition,amyunisyon
analytic,analitik
aniticpate,antisipeyt
attic,atik
attire,atayer
attrition,atrisyon
auction,oksyon
aviation,eybieysyon
baiting,beyting
ballistic,balistik
bastion,bastson
betting,beting
biting,bayting
blasting,blasting
boasting,bosting
busting,basting
cacti,kaktay
calculating,kalkyuleyting
capabilities,keypabilitis
captivity,kaptibiti
casting,kasting
caution,kosyon
celestial,selestsyal
certify,sertifay
chaotic,keyotik
chatting,tsating
citation,sayteysyon
coating,kowting
cognitive,kognitib
collaboration,kolaboreyson
commotion,komowsyon
compatible,kompatibol
consecutive,konsekyutib
conservation,konserbeysyon
constellation,konsteleysyon
constitute,konstityut
consulting,konsulting
continent,kontinent
continue,kontinyu
contradiction,kontradiksyon
creation,krieysyon
critic,kritik
cosmetic,kosmetik
cortisol,kortisol
daunting,donting
daytime,deytaym
deception,desepsyon
deduction,dedaksyon
dementia,demensya
dentist,dentist
destiny,destini
detective,detektib
digestive,daydyestib
disgusting,disgasting
domestic,domestik
eating,iting
edition,edisyon
editing,editing
elastic,elastik
elective,elektib
emotion,emosyon
entity,entiti
eruption,erapsyon
estimate,estimeyt
exotic,eksotik
exposition,eksposisyon
extinct,ekstinkt
faction,faksyon
fanatic,fanatik
fasting,fasting
fatigue,fatig
fertile,fertayl
festive,festib
fiction,fiksyon
fraction,fraksyon
futile,fyutayl
galactic,galaktik
genetic,dyenetik
getting,geting
grating,greyting
gymnastics,dyimnastiks
halting,holting
hating,heyting
haunting,honting
hitting,hiting
hostile,hostayl
hurting,herting
idealistic,aydialistik
identical,aydentikal
identify,aydentifay
ignition,ignisyon
illumination,ilumineysyon
imagination,imadyineysyon
inertia,inersya
instinct,instinkt
institute,institut
intuition,intuwisyon
justify,dyastifay
kinetic,kinetik
knitting,niting
lasting,lasting
lattice,latis
legalization,ligaliseysyon
lifetime,layftaym
locating,lokeyting
logistic,lodyistik
looting,luting
lotion,losyon
lunatic,lunatik
magnetic,magnetik
majestic,madyestik
malnutrition,malnutrisyon
mantis,mantis
meeting,miting
melting,melting
mention,mensyon
migrating,maygreyting
militia,milisya
mitigate,mitigeyt
moderation,modereysyon
motion,mosyon
monastic,monastik
mounting,mawnting
motive,motib
multiple,multipol
mutiny,myutini
mystic,mistik
narration,nareysyon
nation,neysyon
native,neytib
negative,negatib
nesting,nesting
neurotic,nurotik
objection,obdyeksyon
operation,opereysyon
option,opsyon
optics,optiks
orbiting,orbiting
outing,awting
painting,peynting
partial,parsyal
parting,parting
patient,peysyent
patio,patiyo
pitiful,pitiful
plastic,plastik
platinum,platinum
poetic,powetik
pneumatic,numatik
pointing,poynting
political,politikal
portion,porsyon
position,posisyon
practical,praktikal
pragmatic,pragmatik
prerogative,prerogatib
prediction,prediksyon
prestige,prestij
primitive,primitib
pristine,pristin
problematic,problematik
projectile,prodyektayl
proportion,proporsyon
punitive,pyunitib
quantify,kwantifay
quantity,kwantiti
question,kwestsyon
quoting,kwoting
radiation,reydieysyon
ranting,ranting
rating,reyting
ratio,reysyo
ration,rasyon
rational,rasyonal
reactive,riaktib
realistic,rialistik
reception,resepsyon
rectify,rektifay
reflection,refleksyon
rejecting,redyekting
relating,releyting
renting,renting
reptile,reptayl
resorting,resorting
respecting,respekting
retire,retayer
retrospective,retrospektib
rotating,roteyting
routine,rutin
sanctity,sanktiti
satire,satayer
satisfy,satisfay
section,seksyon
seating,siting
selection,seleksyon
segmentation,segmenteysyon
sensitive,sensitib
sentinel,sentinel
septic,septik
settings,setings
shifting,sifting
solstice,solstis
sorting,sorting
static,statik
station,steysyon
stick,stik
sticker,stiker
still,stil
stilt,stilt
stimulant,stimyulant
sting,sting
stochastic,stokastik
subtitle,subtaytel
suggestion,sugdyestsyon
synthetic,sintetik
tactic,taktik
tasing,teysting
taunting,tonting
testify,testifay
testing,testing
tiara,tiyara
tibia,tibia
tidy,taydi
tie,tay
tier,tiyer
tiles,tayls
tinder,tinder
tiny,tayni
tip,tip
tipsy,tipsi
titan,taytan
tissue,tisyu
title,taytel
traction,traksyon
tradition,tradisyon
traumatic,tromatik
treating,triting
ultimate,altimeyt
until,antil
updating,apdeyting
utilised,yutilaysd
vacation,beykeysyon
vertical,bertikal
vertigo,bertigo
vibration,baybreysyon
victim,biktim
vocation,bokeysyon
voting,boting
waiting,weyting
wanting,wanting
wasting,weysting
writing,rayting
yeti,yeti
anywhere,enyweyr
awhile,awayl
overwhelm,oberwelm
somewhat,samwat
whack,wak
whale,weyl
wheat,wit
wheel,wil
when,wen
where,weyr
which,wits
whim,wim
whine,wayn
whip,wip
whirl,werl
whisk,wisk
whisper,wisper
whistle,wisel
white,wayt
who,hu
whole,hol
why,way
worthwhile,wertwayl
abridged,abridyd
budge,baj
budget,badyet
cartridge,kartrij
dodge,doj
dredge,drej
fudge,faj
grudge,graj
hedge,hej
judged,dyadyd
ledge,lej
lodged,lodyd
nudge,naj
porridge,porij
ridge,rij
sledge,slej
sludge,slaj
antique,antik
baroque,barok
clique,klik
conquer,konker
conquest,konkwest
critique,kritik
eloquent,elokwent
frequency,frikwensi
oblique,oblik
plaque,plak
queen,kwin
quest,kwest
queue,kyu
request,rekwest
sequel,sikwel
technique,teknik
torque,tork
unique,yunik
botch,bots
butch,buts
clutch,klats
crutch,krats
dutch,dats
itch,its
match,mats
retch,rets
scotch,skots
scratch,skrats
snatch,snats
witch,wits
blight,blayt
flight,flayt
foresight,forsayt
headlights,hedlayts
highlight,haylayt
hindsight,hayndsayt
insight,insayt
night,nayt
nightmare,naytmeyr
sight,sayt
slight,slayt
straight,streyt
tight,tayt
tonight,tunayt
twilight,twaylayt
upright,aprayt
weight,weyt
wright,rayt
adore,ador
aforementioned,aformensyond
anorexia,anoreksya
anymore,enymor
ashore,asor
authored,otord
before,bifor
bookstore,bukstor
bore,bor
bored,bord
boredom,bordom
chore,tsor
chores,tsors
core,kor
deforestation,diforesteysyon
drugstore,dragstor
encore,onkor
explore,eksplor
favored,feybord
flavored,fleybord
fore,for
forearm,forarm
forecast,forkast
foreground,forgrawnd
forehead,forhed
foreigner,forener
forensic,forensik
foresee,forsi
forest,forest
forever,foreber
furthermore,furdermor
galore,galor
gore,gor
hardcore,hardkor
honored,onord
ignore,ignor
laborer,leyborer
lore,lor
more,mor
offshore,ofsor
ore,or
poorer,purer
pore,por
restore,restor
rumored,rumord
scoreboard,skorbord
shore,sor
shoreline,sorlayn
snore,snor
sophomore,sofomor
sore,sor
sorely,sorli
sponsored,sponsord
spore,spor
store,stor
swore,swor
theorem,tiorem
tailored,teylord
therefore,deyrfor
tore,tor
wore,wor
eighteen,eytin
eighty,eyti
freight,freyt
heavyweight,hebiweyt
heightened,haytend
lightweight,laytweyt
neighbor,neybor
overweight,oberweyt
weighed,weyd
although,oldo
bough,baw
bought,bot
brought,brot
dough,dow
fought,fot
sought,sot
thorough,toro
though,do
thought,tot
through,tru
tough,tof
trough,trof
