input,expected,actual
screen,iskrin,skrin
scooter,iskuter,skuter
squatter,iskuwater,skwater
icescramble,iskrambol,Ayskrembol
squirrel,iskuwirel,skwirl
slogan,islogan,slogan
snob,isnab,snob
snack,isnak,snak
spiral,ispayral,spiral
spelling,ispeling,Ispeling
speaker,ispiker,spiker
sponsor,isponsor,sponsar
sport,isport,sport
spray,isprey,spray
stock,istak,stok
standard,istandard,estandar
strawberry,istroberi,strawberi
issue,isyu,isyu
cabinet,kabinet,Kabinet
canvass,kambas,kanwas
canteen,kantin,kantín
copyright,kopirayt,kopireit
carat,karat,karat
carrot,karotkerot,karot
carpet,karpet,karpet
cash,kas,kas
casualty,kaswalti,kaswalty
candy,kendi,kandi
ketchup,ketsap,ketsap
cake,keyk,keyk
keyboard,kibord,keyibord
clip,klip,klip
cowboy,koboy,kawboy
Kodak,kodak,Kodak
collector,kolektor,kolekstor
commonwealth,komonwelt,komonwelt
computer,kompyuter,kompyuter
condom,kondom,kondóm
collect,kolek,kolek
correct,korek,Korek
crash,kras,kras
coup d'etat,kudeta,kup de eta
cookies,kukis,kukes
cute,kyut,kyut
loudspeaker,lawdispiker,laudspikar
level,lebel,lebel
label,leybel,label
lazy,leysi,leysee
lowbatt,lobat,lowbat
magic,madyik,majik
magazine,magasin,magasin
mannequin,manikin,manikin
mouse,maws,maws
missedcall,miskol,misedkol
meeting,miting,miting
mall,mol,mol
nurse,nars,nurs
notebook,notbuk,notbuk
okay,okey,Okey
office,opis,ofis
fuckshit,paksyet,pakinabang
fuckyou,pakyu,pokyu
panty,panti,panti
password,pasword,pasword
first time,perstaym,Ferst Taym
Facebook,peysbuk,Peysbuk
picture,piktsur,piktyur
pliers,plais,players
flashlight,plaslayt,fleslayit
plastic,plastik,plastik
plywood,playwud,plawud
fountain pen,pontempen,founten pen
photobomb,potobam,fotobom
police,pulis,polis
football,putbol,futbol
rally,rali,rali
refrigerator,repridyeretor,refrihirador
review,rebyu,ribyuw
respelling,reispeling,Rispeling
recess,rises,reses
robot,robot,robot
saliva,salayba,saliba
sample,sampol,sampol
sandwich,sandwits,sandwits
survey,sarbey,surwey
simple,simple,simpol
cellphone,selpon,selpon
sorry,sori,sori
supermarket,supermarket,supermarcket
supply,suplay,sapley
supplier,suplayer,sapleyar
shawty,syota,sawti
standby,stambay,standby
traffic,trapik,Trafik
textbook,teksbuk,teksbuk
tennis,tenis,tenis
teenager,tinedyer,tineyher
teacher,titser,titsir
Teeshirt,tisyert,Tisiirt
tissue,tisyu,tisyu
tricycle,traysikel,trisikol
truck,trak,trak
tray,trey,trey
check,tsek,Tsek
checkmate,tsekmeyt,tsekmey
chess,tses,ches
wise,wais,ways
website,websayt,websayt
weather,weder,weðer
unit,yunit,yunit
