input,expected,actual
ensign,ensayn,ensayn
feign,feyn,feyn
foreign,foren,forin
gnash,nas,gnas
gnome,nowm,gnowm
ignite,ignayt,ignay
ignorance,ignorans,ignorans
incognito,inkognito,inkognito
indignation,indigneysyon,indignesyon
insignificant,insignifikant,insinyipikant
lasagna,lasanya,lasanya
magnate,magneyt,Magneyt
magnesium,magnisium,magnesyom
magnet,magnet,magnet
magnolia,magnolya,magnolya
pregnant,pregnant,pregnan
prognosis,prognosis,prognosis
recognize,rekognays,rekognays
reign,reyn,reyn
signal,signal,signel
significant,signifikant,signipikante
sovereign,soberen,sobereyn
dowry,dawri,dauri
handwriting,handrayting,handrayt
playwright,pleyrayt,pleyrayt
rewrite,rirayt,rerait
shipwreck,syiprek,siprek
wrack,rak,rak
wraith,reyt,reyt
wrap,rap,rap
wreak,rik,reyc
wrench,rents,rents
wrestle,resel,restol
wring,ring,ring
wrong,rong,rong
wrote,rot,rout
wrought,rot,rawt
wrung,rang,rung
wryly,rayli,wayrely
abase,abeys,abeys
absence,absens,absensya
abuse,abyus,abiyus
accessed,aksesd,akesed
accuse,akyus,akyus
actresses,aktreses,aktrises
advise,adbays,advays
amusement,amyusment,amyusment
apocalypse,apokalyps,apokalipi
backseat,baksit,baksit
base,beys,beys
bestseller,bestseler,bestselar
biased,bayasd,bayest
browser,brawser,brauser
bruise,brus,brus
carousel,karosel,karusel
cause,kos,kaws
cease,sis,siy
cheeseburger,tsisburger,Tsisbarga
cheesecake,tsiskeyk,siskeyk
choose,tsus,Tsuws
close,klos,klos
coarse,kors,kors
compose,kompos,Kompos
corpse,korps,korpse
cruiser,kruser,kruiser
cybersecurity,saybersekyuriti,saybersekuriti
database,deytabeys,deyteybeys
decrease,dikris,disris
demise,demays,demays
desert,desert,desart
depose,dipows,depows
despise,despays,despays
diesel,disel,diesel
dessert,desert,desert
easel,isel,isel
erase,ereys,ires
excused,ekskyusd,ekskyusd
FALSE,fols,Fols
finesse,fines,fines
fructose,fruktos,fruktus
gases,gases,geyses
goose,gus,gus
greenhouse,grinhaws,grinhaus
guessed,gesd,gest
hairdresser,heyrdreser,heyrdreser
horseback,horsbak,horsebek
household,hawshold,Haws-howld
illnesses,ilneses,Ilneses
immense,imens,imyens
impose,impos,impows
incense,insens,insens
increase,inkris,inkreys
insert,insert,insort
intense,intens,Intens
kissed,kisd,kist
kerosene,kerosin,kerosen
lactose,laktos,laktows
lease,lis,lis
lessen,lesen,lesen
license,laysens,lisensya
loosen,lusen,lusin
mayonnaise,meyoneys,mayonesa
merchandise,mertsandays,mersandeys
messed,mesd,mest
minimise,minimays,minimisa
misery,miseri,miseri
moose,mus,mus
mussels,masels,musels
noise,noys,noys
nose,nos,nos
nosey,nosi,nosy
nurse,ners,nurs
obese,obis,obeso
observant,obserbant,obserban
onset,onset,onsit
offense,ofens,ofensa
organise,organays,organayz
otherwise,oderways,oterwayz
overdose,oberdos,overdows
parentheses,parentesis,parenrtesis
parse,pars,pars
passenger,pasendyer,pasahero
pause,pos,pows
penthouse,penthaws,pentaws
perseverance,persebirans,persiberans
phrase,freys,pres
poise,poys,poys
pose,pos,pows
please,plis,plis
posse,posi,pose
possess,poses,poses
presses,preses,preses
practise,praktis,praktos
preserve,preserb,priserb
presence,presens,presens
prose,pros,prosa
promise,promis,promis
purchased,purtseysd,perkasado
prosecutor,prosekyutor,prosekyutor
raise,reys,reys
realise,rialays,rilayz
recognise,rekognays,rekognayz
relapse,rilaps,rilafs
rose,ros,ros
sea,si,siy
seam,sim,sim
season,sison,sizon
seat,sit,sit
secession,sesesyon,sesyon
search,serts,serts
secluded,sekluded,seklud
second,sekond,sekond
sedentary,sedentari,sedentari
secure,sekyur,sikyor
sediment,sediment,sediment
sedan,sedan,seydan
seduce,sedus,sedyus
seed,sid,sid
seeker,siker,Siker
seem,sim,sim
seismic,saysmik,seysmik
seize,sis,siyz
seine,sen,seyn
selector,selektor,Selektir
senate,seneyt,Senado
senior,sinyor,senyor
senses,senses,senses
sensibility,sensibiliti,sensibilidad
sensor,sensor,sensor
separate,separeyt,sepearet
settled,seteld,setled
sewing,sowing,syuwing
subset,sabset,sabset
those,dows,dos
tossed,tosd,tosad
traverse,trabers,trabers
trousers,trawsers,trouser
unbiased,anbayasd,anbeyst
universe,yunibers,yuniberso
unseen,ansin,Anseen
upset,apset,apset
vessel,besel,besel
warehouse,weyrhaws,werhaus
weasel,wisel,weasal
wiser,wayser,wayser
worse,wers,wurs
witnessed,witnesd,witnest
yourself,yorself,yurself
abstinence,abstinens,abstinensya
accelerate,akselereyt,akselerit
accept,aksept,aksept
accessible,aksesibol,aksesible
ace,eys,eys
acquaintance,akweyntans,akweyntans
adjacent,adyeysent,adyasent
adolescence,adolesens,adolesens
advance,adbans,adians
ambulance,ambyulans,ambyulans
advice,adbays,adbaIs
aerospace,eyrospeys,eyroespeys
allegiance,alidyans,alegiyans
allowance,alawans,alawans
ancestor,ansestor,ansestor
annoyance,anoyans,anoyang
arrogance,arogans,arogansya
balance,balans,balans
bicep,baysep,bisep
bounce,bawns,bawns
brace,breys,breys
brilliance,brilians,brillyans
cadence,keydens,kadense
cedar,sidar,sidar
ceiling,siling,silong
celebrate,selebreyt,selebret
cell,sel,sel
censor,sensor,sensor
cent,sent,sent
central,sentral,sentral
ceremony,seremoni,seremanya
cereal,siryal,siryul
century,sentsuri,sentorya
certain,serten,sertain
choice,tsois,Coys
concede,konsid,konsedi
concern,konsern,konsern
consequence,konsikwens,konsekwensya
convergence,konberdyens,konbersens
dance,dans,dans
deceased,desisd,disist
deceit,desit,disit
decent,disent,desent
defence,defens,difens
deliverance,deliberans,delibeRans
device,debays,dibays
descent,desent,desent
disappearance,disapirans,disaperans
diligence,dilidyens,dilijens
discern,disern,diskern
disgrace,disgreys,disgreys
dissonance,disonans,disunans
divorce,dibors,diborys
elegance,elegans,elegansya
emergence,emerdyens,emerehnsya
exceed,eksid,eksid
except,eksept,eksept
excess,ekses,eksses
existence,eksistens,egzistensya
face,feys,feys
farce,fars,fars
faucet,foset,fawset
fierce,firs,fiers
finance,faynans,finans
fluorescence,floresens,fluoresen­sya
force,fors,fors
furnace,furneys,furneys
glance,glans,glans
grace,greys,greys
grievance,gribans,gribanans
grocery,grosery,groseri
guidance,gaydans,Gaysans
hence,hens,hens
hindrace,hindrans,hindres
hospice,hospis,hospis
ice,ays,ays
incandescent,inkandesent,inkandisent
incentive,insentib,insentib
importance,importans,Imporans
indecent,indisent,Indisent
induce,indus,induos
influence,influens,influensia
inheritance,inheritans,inhebitans
innocence,inosens,inosensya
intelligence,intelidyens,intelijens
intercept,intersept,intarsept
interface,interfeys,intarfes
juice,dyus,hus
justice,dyastis,hustis
lace,leys,les
lettuce,letus,letes
lice,lays,lays
licence,laysens,lisensya
mace,meys,meys
magnificent,magnifisent,magnipiko
malice,malis,malis
malpractice,malpraktis,malpraktis
matrices,meytrisis,matrises
marketplace,marketpleys,merkitpleys
mice,mays,Mays
mercenary,mersenari,mersenary
miscellaneous,miseleynyus,miselaneyos
necessary,nesesari,neseysaryo
nice,nays,nays
niece,nis,nis
notice,notis,notis
nuance,nuans,nyuans
obscene,obsin,obsín
observance,obserbans,obserbans
occurrence,okurens,okurens
ocean,owsyen,osyan
offence,ofens,Ofens
ounce,awns,awns
pace,peys,peys
palace,paleys,palasyo
parcel,parsel,parsel
patience,peysyens,paysensha
pence,pens,pens
peaceful,pisful,pisipul
perceive,persib,Porsib
piece,pis,pis
places,pleyses,pleses
price,prays,prays
prince,prins,prins
princess,prinses,prinsesa
procedure,prosidyur,prosidyur
process,proces,proses
race,reys,res
radiance,reydians,radyans
receipt,resit,resit
receiver,resiber,risíber
recent,risent,resent
receptor,reseptor,reseptor
reduce,redus,ridyus
rice,rays,rais
romance,romans,romans
sacrifice,sakrifays,sakripisyo
sauce,sos,saws
scene,sin,sin
scent,sent,sent
science,sayens,sayensya
service,serbis,serbisyo
slice,slays,slays
soccer,soker,soker
source,sors,sors
spice,spays,spays
substance,sabstans,sabstansya
space,speys,espes
succeed,saksid,saksid
surface,surfeys,sarfis
temperance,temperans,tempiransa
tolerance,tolerans,toleransya
trace,treys,tres
trance,trans,trans
trice,trays,tris
twice,tways,Twais
ulcer,alser,ulser
uncertain,anserten,Anserton
unnoticed,annotisd,Annotisid
vengeance,bendyans,benhenyas
vice,bays,Bays
vigilance,bidyilans,bihelans
voice,boys,bwis
whence,wens,wens
wince,wins,wins
ascend,asend,asend
ascot,askot,askot
biscuit,biskit,biskwit
cardiovascular,kardiobaskyular,kardyobaskular
cascade,kaskeyd,kaskad
conscience,konsyens,konseniya
crescent,kresent,kresent
descend,desend,disend
describe,deskrayb,diskreyb
description,deskripsyon,diskiripsyon
discard,diskard,diskard
disco,disko,disko
discontent,diskontent,diskontento
discord,diskord,diskord
discount,diskawnt,diskawnt
discourage,diskoreyj,diskareho
discourse,diskors,diskors
discover,diskaber,diskaber
discredit,diskredit,diskeredit
escalate,eskaleyt,eskalat
escape,eskeyp,iskeyp
fascist,fasyist,fasista
fiasco,fiasko,fyasco
inscribed,inskraybd,inskraybd
landscape,landskeyp,landskeyt
manuscript,manyuskript,Manuskrito
mascot,maskot,maskot
mascara,maskara,maskara
microscope,maykroskop,Mayikreuskop
mischief,mistsif,miskiyef
muscle,masel,Masul
obscure,obskyur,obskyur
preschool,priskul,pryskul
prescribe,preskrayb,preskarayb
prescription,preskripsyon,preskripsiyon
rescue,reskyu,reskyu
rascal,raskal,raskal
scale,skeyl,skeyl
scalp,skalp,skalp
scam,skam,skam
scandal,skandal,iskandal
scar,skar,skar
scarce,skars,skers
scare,skeyr,skear
scarf,skarf,skarf
schedule,skedyul,iskidyul
schema,skima,skema
scholar,skolar,skolar
school,skul,iskul
scold,skold,skold
score,skor,skor
scot,skot,skot
scout,skawt,skawt
screw,skru,skru
screen,skrin,skrin
scum,skam,skam
subscribe,sabskrayb,sabskaraib
susceptible,saseptibol,sapseptible
transcend,transend,transend
upscale,apskeyl,apskeyL
vascular,baskyular,baskuler
visceral,biseral,Viseral
viscount,baykawnt,biskawnt
amaze,ameys,ameyz
analyzer,analayser,analisador
apologize,apolodyays,apoloheysay
bezel,besel,besel
booze,boos,boos
brazen,breysen,breysn
breeze,bris,bris
bronze,brons,bronse
buzzer,baser,basar
capitalize,kapitalays,Kapitalays
categorized,kategoraysd,kategorisayd
citizen,sitisen,sitisen
civilized,sibilaysd,sibiilaysd
craze,kreys,kreys
criticize,kritisays,kritisayz
customize,kastomays,kastomays
dazed,deysd,deysd
dozen,dosen,dasan
eczema,eksima,eksema
emphasize,emfasays,emfasays
energize,enerdyays,enerhay
fertilizer,fertilayser,pertilayser
freeze,fris,fris
froze,fros,frohs
finalize,faynalays,finalayz
gauze,gos,gos
gaze,geys,geys
glaze,gleys,gleyss
haze,heys,heys
hospitalize,hospitalays,ospitalayz
legalize,ligalays,legalayz
maze,meys,meys
memorize,memorays,memorayz
mobilize,mobilays,mobiliys
modernize,modernays,modernays
neutralize,nutralays,neutralays
optimize,optimays,optimayis
organize,organays,organays
oversized,obersaysd,obesakd
penalized,penalaysd,penalisado
prize,prays,prayz
size,says,sayz
sneeze,snis,snís
specialize,spesyalays,ispesyalays
squeeze,skwis,skwis
stabilize,steybilays,istabilays
summarize,samarays,Sumarayso
symbolize,simbolays,Simbolayis
utilize,yutilays,utilaysheyd
victimized,biktimaysd,biktimaysd
visualize,bisualays,bisuwaliys
zeal,sil,sil
zebra,sibra,sebra
zero,siro,sero
zest,sest,sest
ache,eyk,eks
achieve,atsib,atseybh
anarchist,anarkist,anarko
anchor,ankor,ankur
approach,aprots,aprots
archaeology,arkeyolodyi,arkeyolohiya
archaic,arkeyik,arkayik
archer,artser,arkyer
archive,arkayb,arkayb
attach,atats,atats
avalanche,abalants,abalanse
bachelor,batselor,batyelor
batch,bats,batch
beach,bits,bic
bench,bents,bents
bleach,blits,blich
breach,brits,brits
brunch,brants,branc
bunch,bants,bunch
cache,kas,kas
catch,kats,kats
chafe,tseyf,Syaf
chain,tseyn,cheyn
chair,tseyr,cher
chalk,tsok,tsos
champion,tsampyon,tampyon
challenger,tsalendyer,Sallenher
chaos,keyos,kaos
chapter,tsapter,tsepta
charcoal,tsarkol,tsarkowl
charm,tsarm,tsarm
cheat,tsit,chit
check,tsek,syek
cheddar,tsedar,Tseddar
chemistry,kemistri,kemistri
cherry,tseri,seri
chest,tsest,ches
chick,tsik,tsik
chicken,tsiken,tsikin
chief,tsif,Syef
child,tsayld,tsayl
choir,kwayer,kwayer
chlorine,klorin,klorin
choke,tsok,syok
chord,kord,kord
chrome,krom,krom
chuckle,tsakel,tsokol
cinch,sints,sintsy
ditch,dits,dits
enrich,enrits,Enris
epoch,epok,epok
exchange,ekstseynj,ekskenhe
fetch,fets,fets
french,frents,Frentsy
glitch,glits,glits
gulch,gults,gulc
handkerchief,hankertsif,hankersyip
hatch,hats,hats
hunch,hants,hantsy
ketchup,ketsap,ketssap
kitchen,kitsen,Kitsin
latch,lats,latsy
launch,lonts,lons
lunch,lants,lans
machine,masin,masyin
march,marts,mars
mech,mek,mek
mechanic,mekanik,mekanik
melancholy,melankoli,melankolya
mocha,moka,mocha
monarch,monark,monarko
moustache,mustas,mustahe
notch,nots,nots
nacho,natso,natsyo
niche,nis,nits
orchard,ortsard,orsyad
orchestra,orkestra,orkestra
overwatch,oberwats,Owerbwats
parochial,parokial,parokyal
patch,pats,patsy
peach,pits,pics
pinch,pints,pints
pitch,pits,pitsy
pouch,pawts,paws
psychedelic,saykedelik,saykedelig
psycho,sayko,Sayko
preach,prits,prit
punch,pants,panc
purchase,purtseys,porsyeso
ranch,rants,rans
reach,rits,ris
rich,rits,ris
roach,rowts,rowts
sketch,skets,sketsy
snitch,snits,snits
stretch,strets,stret
switch,swits,switsy
technician,teknisyan,teknisynan
technology,teknolodyi,teknolohiya
torch,torts,torts
touch,tats,tats
twitch,twits,tuwits
vouch,bawts,bauts
voucher,bawtser,baucer
watch,wats,wotsy
winch,wints,winc
yacht,yat,yat
accident,aksident,aksidente
acid,asid,asid
ancient,eynsyent,ansyent
ancillary,ansilari,ansilerey
anticipate,antisipeyt,antisipeyit
associate,asosieyt,asosyet
artificial,artifisyal,artificial
atrocious,atrowsyus,atrowsyos
atrocity,atrositi,atrosity
audacity,odasiti,awdasiti
balancing,balansing,balansing
beneficial,benefisyal,benefisyal
bouncing,bawnsing,bauwnsing
calcium,kalsyum,kalsyum
cider,sayder,saydir
cigar,sigar,sigar
cipher,sayfer,sayer
circle,sirkel,sirkol
circuit,sirkit,sirkuyt
circus,sirkus,sirkus
city,siti,siti
civil,sibil,sibil
coincide,kowinsayd,koinsiday
commercial,komersyal,komersyal
complicit,komplisit,komplisit
concise,konsays,konsays
concierge,konsyerj,konsyerhe
council,kawnsil,kaonsil
criticise,kritisays,kritisays
crucial,krusyal,krusyal
crucifix,krusifiks,Krusissiks
dancing,dansing,dansing
decide,desayd,Desayd
decimal,desimal,desimal
decision,desisyon,desisyon
deficient,defisyent,defisyent
deficit,defisit,defisit
disciple,disaypol,Disaypl
distancing,distansing,distansing
efficient,efisyent,ifiysent
elicit,elisit,ilisit
emancipation,emansipeysyon,emansipasyon
embracing,embreysing,Imbreysing
ethnicity,etnisiti,etnisidad
excise,eksays,eksayis
exercise,eksersays,eksersisyo
explicit,eksplisit,eksplisit
facial,feysyal,fasyal
facing,feysing,feysing
fascinate,fasineyt,fasineyit
felicity,felisiti,Felisiti
fencing,fensing,fensing
ferocious,ferowsyus,ferosyos
financial,faynansyal,finansyal
genocide,dyenosayd,henosayd
glacial,gleysyal,glasyil
glancing,glansing,glansing
hallucination,halusineysyon,halusinesyon
homicide,homisayd,homisay
icing,aysing,aysin
illicit,ilisit,ilisit
implicit,implisit,impisit
incidence,insidens,insidensya
incapacitated,inkapasiteyted,inkapasiteyted
incident,insident,insidente
incision,insisyon,insisyon
inducing,indusing,indyusing
invincible,inbinsibol,inbinsibil
judicial,dyudisyal,yudisyal
lucid,lusid,lusid
magician,madyisyan,Manisyan
malicious,malisyus,maliyos
mathematician,matematisyan,matematisyan
medicine,medisin,medisin
menacing,menasing,menesing
merciful,mersiful,mersipul
noticing,notising,notisring
official,ofisyal,ofisyal
pencil,pensil,pensil
pacing,peysing,peysing
piercing,pirsing,piercing
placid,plasid,plasid
politician,politisyan,politisyan
precinct,prisinkt,presiNKT
precise,presays,presiis
principal,prinsipal,prinsipál
producing,produsing,prodiyusing
racing,reysing,reysin
recipe,resipi,resipe
recital,resaytal,resital
reconcile,rikonsayl,rekonsay
reducing,redusing,Ridyusing
referencing,referensing,referensing
sacrificing,sakrifaysing,sakrifisang
scion,sayon,siyon
scissors,sisors,sisor
slicing,slaysing,slaysing
social,sosyal,sosyal
society,sosayeti,sosyedad
special,spesyal,espesyal
species,spisis,ispesyes
specify,spesifay,ispesipay
specimen,spesimen,espesimen
sufficient,safisyent,sifisyent
suicide,suwisayd,swisayd
tacit,tasit,Tasit
tenacious,teneysyus,tenasyos
toxicity,toksisiti,Toksisidad
thoracic,torasik,torasik
unconscious,ankonsyus,ankonses
undecided,andesayded,Andisayded
vacancies,beykansis,bakansiyas
vaccination,baksineysyon,baksineysyon
vaccine,baksin,baksina
velocity,belositi,belositi
vicinity,bisiniti,bisindad
vicious,bisyus,bisyoso
voicing,boysing,bwosing
abbreviation,abribieysyon,abrebiyesyon
abduction,abdaksyon,abduks-yon
absorption,absorpsyon,Absorsyon
acceleration,akselereysyon,akselerasyon
acoustic,akustik,akustik
action,aksyon,aksyon
activate,aktibeyt,aktiveyit
adaptation,adapteysyon,adaptasyon
activity,aktibiti,aktibidad
adoptive,adoptib,adoptibi
adoration,adoreysyon,adorasyon
advertisement,adbertaysment,adbertysmen
affection,afeksyon,afeksyon
affliction,afliksyon,aflaksyon
allocation,alokeysyon,alokesyon
ammunition,amyunisyon,amunisyon
analytic,analitik,analitik
aniticpate,antisipeyt,Anticipet
attic,atik,atik
attire,atayer,atayar
attrition,atrisyon,atrisyon
auction,oksyon,oksyon
aviation,eybieysyon,ebiyesyon
baiting,beyting,beyting
ballistic,balistik,ballistik
bastion,bastson,basyon
betting,beting,beting
biting,bayting,bayting
blasting,blasting,blasting
boasting,bosting,bosteng
busting,basting,busting
cacti,kaktay,kakti
calculating,kalkyuleyting,Kalkuleyting
capabilities,keypabilitis,Kapabilidadis
captivity,kaptibiti,kaptibiti
casting,kasting,kasting
caution,kosyon,kawsyon
celestial,selestsyal,selesyal
certify,sertifay,sertipay
chaotic,keyotik,kaotik
chatting,tsating,tsating
citation,sayteysyon,siteysan
coating,kowting,kowing
cognitive,kognitib,kognitibo
collaboration,kolaboreyson,kolaboreyson
